Part type,Part name,Rank,CA Mirror,Data mask,Row width,Column width,Bank width,CS width,CKE width,ODT width,CK width,Memory speed grade,Memory density,Component density,Memory device width,Memory component width,Data bits per strobe,IO Voltages,Data widths,Min period,Max period
Components,MT41J512M8RH-093,1,0,1,"16 (12,13,14,15)","10 (11,12)",3,1,1,1,1,093,4Gb,4Gb,8,8,8,1.5V,"8,16,24,32,40,48,56,64,72",938,3300
Components,MT41J256M16HA-093,1,0,1,"15 (12,13,14,16)","10 (11,12)",3,1,1,1,1,093,4Gb,4Gb,16,16,8,1.5V,"8,16,24,32,40,48,56,64,72,80",938,3300
Components,MT41J512M8RH-107,1,0,1,"16 (12,13,14,15)","10 (11,12)",3,1,1,1,1,107,4Gb,4Gb,8,8,8,1.5V,"8,16,24,32,40,48,56,64,72",1071,3300
Components,MT41J256M16HA-107,1,0,1,"15 (12,13,14,16)","10 (11,12)",3,1,1,1,1,107,4Gb,4Gb,16,16,8,1.5V,"8,16,24,32,40,48,56,64,72,80",1071,3300
Components,MT41J512M8RA-125,1,0,1,"16 (12,13,14,15)","10 (11,12)",3,1,1,1,1,125,4Gb,4Gb,8,8,8,1.5V,"8,16,24,32,40,48,56,64,72",1250,3300
Components,MT41J256M16HA-125,1,0,1,"15 (12,13,14,16)","10 (11,12)",3,1,1,1,1,125,4Gb,4Gb,16,16,8,1.5V,"8,16,24,32,40,48,56,64,72,80",1250,3300
Components,MT41J512M8RA-15E,1,0,1,"16 (12,13,14,15)","10 (11,12)",3,1,1,1,1,15E,4Gb,4Gb,8,8,8,1.5V,"8,16,24,32,40,48,56,64,72",1500,3300
Components,MT41J256M16RE-15E,1,0,1,"15 (12,13,14,16)","10 (11,12)",3,1,1,1,1,15E,4Gb,4Gb,16,16,8,1.5V,"8,16,24,32,40,48,56,64,72,80",1500,3300
Components,MT41J256M8DA-093,1,0,1,"15 (12,13,14,16)","10 (11,12)",3,1,1,1,1,093,2Gb,2Gb,8,8,8,1.5V,"8,16,24,32,40,48,56,64,72",938,3300
Components,MT41J128M16JT-093,1,0,1,"14 (12,13,15,16)","10 (11,12)",3,1,1,1,1,093,2Gb,2Gb,16,16,8,1.5V,"8,16,24,32,40,48,56,64,72,80",938,3300
